Graph addvar/addexpr lines
2 100001
x soma.v( 0.5 ) dend[310].v( 0.5 )
6.475	-55.598	-55.8927
6.5	-55.5644	-55.8595
6.525	-55.5307	-55.8264
6.55	-55.497	-55.7933
6.575	-55.4634	-55.7603
6.6	-55.4298	-55.7272
6.625	-55.3961	-55.6941
6.65	-55.3625	-55.6611
6.675	-55.3289	-55.6281
6.7	-55.2952	-55.595
6.725	-55.2616	-55.562
6.75	-55.228	-55.529
6.775	-55.1943	-55.496
6.8	-55.1606	-55.4629
6.825	-55.127	-55.4299
6.85	-55.0933	-55.3968
6.875	-55.0596	-55.3638
6.9	-55.0258	-55.3307
6.925	-54.9921	-55.2976
6.95	-54.9583	-55.2646
6.975	-54.9245	-55.2314
7	-54.8906	-55.1983
7.025	-54.8567	-55.1651
7.05	-54.8228	-55.132
7.075	-54.7889	-55.0987
7.1	-54.7549	-55.0655
7.125	-54.7208	-55.0322
7.15	-54.6867	-54.9989
7.175	-54.6526	-54.9655
7.2	-54.6184	-54.9321
7.225	-54.5842	-54.8987
7.25	-54.5498	-54.8652
7.275	-54.5155	-54.8316
7.3	-54.481	-54.798
7.325	-54.4465	-54.7644
7.35	-54.4119	-54.7306
7.375	-54.3773	-54.6968
7.4	-54.3425	-54.663
7.425	-54.3077	-54.6291
7.45	-54.2728	-54.5951
7.475	-54.2378	-54.561
7.5	-54.2027	-54.5269
7.525	-54.1675	-54.4926
7.55	-54.1322	-54.4583
7.575	-54.0969	-54.4239
7.6	-54.0613	-54.3894
7.625	-54.0257	-54.3548
7.65	-53.99	-54.3201
7.675	-53.9541	-54.2853
7.7	-53.9181	-54.2504
7.725	-53.882	-54.2154
7.75	-53.8458	-54.1802
7.775	-53.8094	-54.145
7.8	-53.7728	-54.1096
7.825	-53.7361	-54.074
7.85	-53.6993	-54.0384
7.875	-53.6623	-54.0026
7.9	-53.6251	-53.9666
7.925	-53.5877	-53.9305
7.95	-53.5502	-53.8942
7.975	-53.5125	-53.8578
8	-53.4746	-53.8212
8.025	-53.4365	-53.7845
8.05	-53.3981	-53.7475
8.075	-53.3596	-53.7104
8.1	-53.3209	-53.6731
